From,Till,Installation id,Sensor id,Location,DAQI,PM10 [ug/m3],PM10 [% of WHO guideline],PM2.5 [ug/m3],PM2.5 [% of WHO guideline],PM1 [ug/m3],NO2 [ug/m3],NO2 [% of WHO guideline],NO [ug/m3],O3 [ug/m3],O3 [% of WHO guideline],CO [ug/m3],CO [% of WHO guideline],SO2 [ug/m3],SO2 [% of WHO guideline],H2S [ug/m3],Temperature [°C],Wind speed [km/h],Wind bearing,Pressure [hPa],Humidity [%]
2025-06-13T13:00:00+01:00,2025-06-13T14:00:00+01:00,120389,14903,Wandsworth BM1,2.21,20.18,44.84,13.21,88.07,12.18,,,,,,,,,,,25.75,10.34,197.21,1018.35,51.61
2025-06-13T14:00:00+01:00,2025-06-13T15:00:00+01:00,120389,14903,Wandsworth BM1,2.11,18.42,40.93,11.25,74.99,10.36,,,,,,,,,,,26.58,9.80,191.52,1017.81,48.87
2025-06-13T15:00:00+01:00,2025-06-13T16:00:00+01:00,120389,14903,Wandsworth BM1,1.92,15.19,33.75,8.38,55.89,7.80,,,,,,,,,,,27.16,9.23,185.64,1017.46,47.55
2025-06-13T16:00:00+01:00,2025-06-13T17:00:00+01:00,120389,14903,Wandsworth BM1,1.96,15.97,35.49,9.08,60.51,8.26,,,,,,,,,,,27.43,8.84,171.75,1017.08,46.06
2025-06-13T17:00:00+01:00,2025-06-13T18:00:00+01:00,120389,14903,Wandsworth BM1,2.62,26.57,59.05,19.02,126.80,17.68,,,,,,,,,,,27.66,9.91,143.61,1016.19,45.45
2025-06-13T18:00:00+01:00,2025-06-13T19:00:00+01:00,120389,14903,Wandsworth BM1,2.25,20.79,46.19,13.67,91.15,12.44,,,,,,,,,,,27.65,10.62,127.35,1015.39,45.86
2025-06-13T19:00:00+01:00,2025-06-13T20:00:00+01:00,120389,14903,Wandsworth BM1,2.69,27.49,61.09,19.79,131.93,18.51,,,,,,,,,,,26.72,10.74,118.89,1016.22,48.83
2025-06-13T20:00:00+01:00,2025-06-13T21:00:00+01:00,120389,14903,Wandsworth BM1,2.70,27.91,62.03,19.90,132.69,19.02,,,,,,,,,,,25.92,11.02,109.42,1015.36,53.24
2025-06-13T21:00:00+01:00,2025-06-13T22:00:00+01:00,120389,14903,Wandsworth BM1,2.60,26.21,58.24,18.75,124.98,17.67,,,,,,,,,,,25.17,10.83,102.00,1015.02,56.26
2025-06-13T22:00:00+01:00,2025-06-13T23:00:00+01:00,120389,14903,Wandsworth BM1,3.22,35.41,78.69,26.17,174.44,24.98,,,,,,,,,,,23.38,9.75,113.43,1015.59,65.66
2025-06-13T23:00:00+01:00,2025-06-14T00:00:00+01:00,120389,14903,Wandsworth BM1,3.24,35.30,78.44,26.44,176.25,25.27,,,,,,,,,,,21.99,9.84,94.08,1014.10,71.48
2025-06-14T00:00:00+01:00,2025-06-14T01:00:00+01:00,120389,14903,Wandsworth BM1,2.32,22.03,48.96,14.88,99.18,13.94,,,,,,,,,,,21.29,9.91,96.65,1013.08,73.06
2025-06-14T01:00:00+01:00,2025-06-14T02:00:00+01:00,120389,14903,Wandsworth BM1,2.27,21.25,47.22,14.08,93.86,12.66,,,,,,,,,,,20.44,7.91,100.75,1013.43,77.14
2025-06-14T02:00:00+01:00,2025-06-14T03:00:00+01:00,120389,14903,Wandsworth BM1,2.12,18.68,41.51,11.75,78.36,10.62,,,,,,,,,,,19.45,5.78,125.73,1013.68,81.82
